Наименование объявления,Город,Район,Количество станций метро рядом,Самый длогий путь до метро,Самый короткий путь до метро,Расттояние до центра,Площадь квартиры,Цена квартиры
"Продажа 2-комнатной квартиры 53,5 м², 4/16 этаж",Москва,ЮАО,3,27,19,6.3,53.5,20650465
"Продажа 1-комнатной квартиры 33,6 м², 10/18 этаж",Москва,ЗАО,3,25,6,18.9,33.6,9900000
"Продажа квартиры-студии 29,4 м², 8/14 этаж",Москва,Новая Москва,3,79,68,29.8,29.4,6844320
"Продажа 3-комнатной квартиры 56,5 м², 4/9 этаж",Москва,ЗАО,3,16,13,4.1,56.5,27990000
"Продажа 1-комнатной квартиры 41,3 м², 13/32 этаж",Москва,ЗАО,3,16,9,7.4,41.3,13872835
"Продажа квартиры-студии 18,3 м², 1/3 этаж",Москва,САО,3,37,32,16.5,18.3,3950000
"Продажа 2-комнатной квартиры 56,6 м², 5/14 этаж",Москва,Зеленоград,3,78,52,107.0,56.6,10500000
"Продажа 2-комнатной квартиры 43 м², 3/22 этаж",Москва,САО,3,27,12,13.0,43.0,15000000
"Продажа 1-комнатной квартиры 30,6 м², 1/5 этаж",Москва,ЮЗАО,3,19,12,14.0,30.6,8999000
"Продажа 2-комнатной квартиры 52,2 м², 17/17 этаж",Москва,ЮЗАО,3,25,22,26.3,52.2,8950003
"Продажа 1-комнатной квартиры 39 м², 12/28 этаж",Москва,СВАО,3,27,13,11.7,39.0,12519000
"Продажа 3-комнатной квартиры 64,5 м², 13/16 этаж",Москва,ЗАО,3,26,7,10.2,64.5,16800000
"Продажа квартиры-студии 38,1 м², 7/25 этаж",Москва,ЮЗАО,3,21,15,11.2,38.1,17035999
"Продажа 1-комнатной квартиры 42 м², 1/24 этаж",Москва,ЮАО,3,16,8,15.3,42.0,8390000
"Продажа 2-комнатной квартиры 64,9 м², 15/35 этаж",Москва,ЮАО,3,30,12,7.4,64.9,27844339
"Продажа квартиры-студии 28,3 м², 23/26 этаж",Москва,ЗАО,3,24,15,11.2,28.3,17036600
"Продажа 1-комнатной квартиры 38,8 м², 10/13 этаж",Москва,ВАО,3,29,6,12.6,38.8,10300000
"Продажа 1-комнатной квартиры 34,3 м², 11/17 этаж",Москва,ЮЗАО,3,25,22,26.3,34.3,6825974
"Продажа 1-комнатной квартиры 32,2 м², 13/19 этаж",Москва,СЗАО,3,36,22,19.7,32.2,7349714
"Продажа 1-комнатной квартиры 32,3 м², 5/32 этаж",Москва,СЗАО,3,36,22,19.8,32.3,7149669
"Продажа 1-комнатной квартиры 41,9 м², 4/24 этаж",Москва,ЗАО,3,16,9,7.5,41.9,16857878
"Продажа квартиры-студии 20 м², 18/19 этаж",Москва,СЗАО,3,36,22,19.7,20.0,5547600
"Продажа 2-комнатной квартиры 61 м², 3/17 этаж",Москва,Новая Москва,3,38,25,23.4,61.0,16000000
"Продажа 2-комнатной квартиры 38,5 м², 7/12 этаж",Москва,САО,3,20,11,13.6,38.5,12000000
"Продажа квартиры-студии 23,5 м², 21/33 этаж",Москва,ВАО,3,19,11,9.8,23.5,6881646
"Продажа 1-комнатной квартиры 34,3 м², 12/20 этаж",Москва,ЮАО,3,25,7,18.4,34.3,8847753
"Продажа 1-комнатной квартиры 35,6 м², 11/14 этаж",Москва,СВАО,3,24,17,12.9,35.6,8900000
"Продажа 1-комнатной квартиры 34,3 м², 20/25 этаж",Москва,СВАО,3,27,11,12.0,34.3,10712781
"Продажа 2-комнатной квартиры 59,1 м², 14/15 этаж",Москва,СВАО,3,25,19,14.4,59.1,16287960
"Продажа 2-комнатной квартиры 70 м², 17/17 этаж",Москва,ЗАО,3,23,18,11.5,70.0,20000000
"Продажа 1-комнатной квартиры 31 м², 5/5 этаж",Москва,СЗАО,3,29,17,11.1,31.0,8500000
"Продажа 2-комнатной квартиры 48,6 м², 18/33 этаж",Москва,ВАО,3,19,11,9.8,48.6,11544638
"Продажа 2-комнатной квартиры 57,4 м², 3/19 этаж",Москва,САО,3,19,9,5.1,57.4,25000000
"Продажа 2-комнатной квартиры 51,3 м², 19/24 этаж",Москва,СВАО,3,30,21,13.7,51.3,11777967
"Продажа многокомнатной квартиры 151,7 м², 22/24 этаж",Москва,ЮАО,3,27,10,7.5,151.7,90546566
"Продажа многокомнатной квартиры 151,7 м², 21/24 этаж",Москва,ЮАО,3,27,10,7.5,151.7,89229530
"Продажа квартиры-студии 24 м², 24/24 этаж",Москва,ЗАО,3,16,9,7.5,24.0,12996864
"Продажа 3-комнатной квартиры 75,9 м², 6/7 этаж",Москва,ЦАО,3,5,2,0.0,75.9,57500000
"Продажа 1-комнатной квартиры 32,2 м², 10/28 этаж",Москва,ВАО,3,19,11,9.8,32.2,8345080
"Продажа 1-комнатной квартиры 42,2 м², 18/21 этаж",Москва,ЗАО,3,28,9,12.1,42.2,13955202
"Продажа 1-комнатной квартиры 29,5 м², 10/18 этаж",Москва,Новая Москва,3,26,14,21.7,29.5,9300000
"Продажа 1-комнатной квартиры 40,4 м², 7/17 этаж",Москва,Новая Москва,3,31,29,28.2,40.4,8200000
"Продажа 3-комнатной квартиры 58 м², 5/5 этаж",Москва,Новая Москва,3,30,22,23.6,58.0,10500000
"Продажа 1-комнатной квартиры 36,2 м², 24/33 этаж",Москва,ЗАО,3,20,13,13.4,36.2,14938943
"Продажа 3-комнатной квартиры 83,9 м², 9/14 этаж",Москва,САО,3,47,39,24.8,83.9,16725465
"Продажа 1-комнатной квартиры 36,4 м², 34/38 этаж",Москва,ЮВАО,3,26,9,5.0,36.4,11989286
"Продажа 3-комнатной квартиры 65 м², 1/9 этаж",Москва,ЮАО,3,15,8,9.2,65.0,22000000
"Продажа 2-комнатной квартиры 52,6 м², 7/17 этаж",Москва,Новая Москва,3,29,25,23.5,52.6,11503727
"Продажа квартиры-студии 21,8 м², 14/16 этаж",Москва,Новая Москва,3,39,17,23.2,21.8,7300000
"Продажа 2-комнатной квартиры 53,2 м², 13/22 этаж",Москва,ЮАО,3,26,20,8.9,53.2,13743475
"Продажа 2-комнатной квартиры 64,7 м², 13/24 этаж",Москва,ЮВАО,3,26,17,4.6,64.7,23744900
"Продажа 1-комнатной квартиры 41,8 м², 3/11 этаж",Москва,Новая Москва,3,34,25,22.4,41.8,11000000
"Продажа квартиры-студии 22,6 м², 31/32 этаж",Москва,САО,3,22,13,12.6,22.6,7667072
"Продажа квартиры-студии 26,2 м², 8/22 этаж",Москва,САО,3,22,11,6.8,26.2,8480000
"Продажа 3-комнатной квартиры 69,6 м², 7/8 этаж",Москва,ЦАО,3,18,9,0.0,69.6,27000000
"Продажа 2-комнатной квартиры 43,2 м², 10/22 этаж",Москва,Новая Москва,3,30,20,21.4,43.2,15450000
"Продажа 3-комнатной квартиры 68 м², 8/9 этаж",Москва,Новая Москва,3,79,71,29.4,68.0,13350000
"Продажа квартиры-студии 25,7 м², 7/14 этаж",Москва,Новая Москва,3,75,64,,25.7,6952878
"Продажа 2-комнатной квартиры 60,9 м², 3/25 этаж",Москва,ЮЗАО,3,21,15,11.3,60.9,24555793
"Продажа 2-комнатной квартиры 64,1 м², 6/12 этаж",Москва,Новая Москва,3,79,68,29.8,64.1,13069990
"Продажа 1-комнатной квартиры 43,1 м², 3/28 этаж",Москва,ЮВАО,3,26,9,5.0,43.1,12843110
"Продажа 1-комнатной квартиры 41 м², 3/3 этаж",Москва,Новая Москва,2,85,75,254.0,41.0,6370500
"Продажа 2-комнатной квартиры 53,6 м², 2/9 этаж",Москва,САО,3,23,15,5.0,53.6,17200000
"Продажа квартиры-студии 24,8 м², 25/30 этаж",Москва,ЮВАО,3,25,9,5.8,24.8,9000000
"Продажа 3-комнатной квартиры 91,9 м², 7/9 этаж",Москва,СВАО,3,18,16,5.2,91.9,45126484
"Продажа 2-комнатной квартиры 43 м², 7/8 этаж",Москва,ЮАО,3,25,13,9.5,43.0,13000000
"Продажа 2-комнатной квартиры 47,6 м², 12/23 этаж",Москва,ЮВАО,3,28,11,5.3,47.6,24500000
"Продажа 1-комнатной квартиры 35 м², 19/19 этаж",Москва,ЮАО,3,26,5,19.1,35.0,14400000
"Продажа 3-комнатной квартиры 65 м², 13/16 этаж",Москва,ЗАО,3,26,7,10.2,65.0,16850000
"Продажа 3-комнатной квартиры 78,1 м², 40/52 этаж",Москва,ЗАО,3,21,13,10.7,78.1,37000000
"Продажа 3-комнатной квартиры 108,2 м², 23/28 этаж",Москва,ЗАО,3,32,28,6.9,108.2,30400000
"Продажа квартиры-студии 20 м², 2/5 этаж",Москва,СВАО,3,14,9,10.6,20.0,5600000
"Продажа 2-комнатной квартиры 38,2 м², 17/31 этаж",Москва,САО,3,25,10,12.4,38.2,13383929
"Продажа квартиры-студии 22,5 м², 11/32 этаж",Москва,САО,3,22,13,12.6,22.5,8709187
"Продажа 3-комнатной квартиры 76 м², 2/15 этаж",Москва,СВАО,3,25,19,14.4,76.0,20824000
"Продажа 2-комнатной квартиры 63,3 м², 2/12 этаж",Москва,ЗАО,3,16,9,7.5,63.3,20661120
"Продажа 2-комнатной квартиры 36,6 м², 12/12 этаж",Москва,ЮАО,3,25,3,4.9,36.6,17300000
"Продажа 1-комнатной квартиры 33,7 м², 8/33 этаж",Москва,СВАО,3,28,19,10.9,33.7,8867683
"Продажа квартиры-студии 22,7 м², 2/52 этаж",Москва,ЮАО,3,30,22,13.9,22.7,9493639
"Продажа 1-комнатной квартиры 47,2 м², 4/21 этаж",Москва,СВАО,3,20,12,9.5,47.2,21109600
"Продажа квартиры со свободной планировкой 70,2 м², 2/16 этаж",Москва,САО,3,21,5,8.1,70.2,28782000
"Продажа 1-комнатной квартиры 57 м², 4/24 этаж",Москва,ЮАО,3,27,10,7.5,57.0,25991021
"Продажа 3-комнатной квартиры 69,1 м², 14/32 этаж",Москва,САО,3,25,8,13.1,69.1,23200000
"Продажа 1-комнатной квартиры 40,7 м², 13/49 этаж",Москва,САО,3,21,10,6.7,40.7,17928596
"Продажа 1-комнатной квартиры 33,8 м², 2/9 этаж",Москва,Новая Москва,3,56,43,29.0,33.8,6680000
"Продажа 4-комнатной квартиры 132 м², 22/32 этаж",Москва,ЮАО,3,21,16,4.1,132.0,57123120
"Продажа 1-комнатной квартиры 31,2 м², 1/5 этаж",Москва,САО,3,18,15,5.7,31.2,9000000
"Продажа квартиры-студии 18,1 м², 9/9 этаж",Москва,Зеленоград,3,64,53,814.0,18.1,5340000
"Продажа 2-комнатной квартиры 49,3 м², 11/17 этаж",Москва,ЗАО,3,22,10,11.8,49.3,18000000
"Продажа квартиры-студии 25,3 м², 19/25 этаж",Москва,ЮВАО,3,28,13,12.2,25.3,8200000
"Продажа 3-комнатной квартиры 78 м², 6/7 этаж",Москва,ВАО,3,34,25,10.7,78.0,24850800
"Продажа 2-комнатной квартиры 65,7 м², 13/22 этаж",Москва,СЗАО,3,27,9,10.5,65.7,34091730
"Продажа 1-комнатной квартиры 38,9 м², 2/14 этаж",Москва,САО,3,18,7,14.3,38.9,9990000
"Продажа 1-комнатной квартиры 34,4 м², 26/33 этаж",Москва,СВАО,3,25,22,13.6,34.4,8310764
"Продажа 2-комнатной квартиры 45,9 м², 9/12 этаж",Москва,ЮВАО,3,21,11,12.9,45.9,11000000
"Продажа 1-комнатной квартиры 51 м², 13/14 этаж",Москва,ВАО,3,30,9,7.7,51.0,26900000
"Продажа 1-комнатной квартиры 49 м², 14/23 этаж",Москва,Новая Москва,3,23,6,22.5,49.0,14700000
"Продажа квартиры-студии 25,5 м², 31/38 этаж",Москва,САО,3,27,11,12.9,25.5,11800000
"Продажа 3-комнатной квартиры 65 м², 14/16 этаж",Москва,ЮЗАО,3,25,12,12.0,65.0,20000000
"Продажа 1-комнатной квартиры 44,4 м², 14/17 этаж",Москва,Новая Москва,3,29,25,23.5,44.4,10242096
"Продажа 3-комнатной квартиры 68,5 м², 11/11 этаж",Москва,СВАО,3,28,20,15.6,68.5,15112196
"Продажа 2-комнатной квартиры 56 м², 4/17 этаж",Москва,Новая Москва,3,32,9,24.2,56.0,13750000
"Продажа квартиры-студии 23,7 м², 15/38 этаж",Москва,ЮВАО,3,26,9,5.0,23.7,8375011
"Продажа 1-комнатной квартиры 35,6 м², 23/28 этаж",Москва,СВАО,3,27,13,11.7,35.6,12388800
"Продажа 2-комнатной квартиры 63,2 м², 2/9 этаж",Москва,Новая Москва,3,62,52,29.6,63.2,9431033
"Продажа 4-комнатной квартиры 132 м², 6/38 этаж",Москва,ЮЗАО,3,28,19,12.4,132.0,45000000
"Продажа квартиры-студии 26,1 м², 4/15 этаж",Москва,СЗАО,3,30,13,14.3,26.1,8624901
"Продажа 2-комнатной квартиры 56,3 м², 8/11 этаж",Москва,САО,3,26,20,5.0,56.3,16900000
"Продажа 1-комнатной квартиры 38,8 м², 9/33 этаж",Москва,ВАО,3,41,38,11.0,38.8,9564200
"Продажа квартиры-студии 21,4 м², 2/26 этаж",Москва,ЮАО,3,27,19,8.0,21.4,9323866
"Продажа 2-комнатной квартиры 117 м², 5/9 этаж",Москва,ЦАО,3,14,5,0.0,117.0,65500000
"Продажа 4-комнатной квартиры 113,9 м², 30/30 этаж",Москва,СЗАО,3,21,10,11.1,113.9,53877383
"Продажа 3-комнатной квартиры 100 м², 2/9 этаж",Москва,ЦАО,3,15,4,3.8,100.0,35000000
"Продажа 2-комнатной квартиры 51,8 м², 2/9 этаж",Москва,ЮАО,3,21,7,8.3,51.8,13400000
"Продажа 1-комнатной квартиры 40 м², 15/17 этаж",Москва,ЮВАО,3,19,7,20.4,40.0,10200000
"Продажа квартиры-студии 24,7 м², 13/14 этаж",Москва,САО,3,47,39,25.0,24.7,8232510
"Продажа 1-комнатной квартиры 27 м², 7/9 этаж",Москва,ЮВАО,3,28,14,12.6,27.0,7552500
"Продажа 1-комнатной квартиры 39,5 м², 18/28 этаж",Москва,СВАО,3,27,13,11.7,39.5,12837500
"Продажа 1-комнатной квартиры 42,1 м², 2/16 этаж",Москва,ЮАО,3,28,18,6.1,42.1,16418831
"Продажа 2-комнатной квартиры 36,7 м², 1/9 этаж",Москва,ВАО,3,23,2,12.0,36.7,8175000
"Продажа 2-комнатной квартиры 56 м², 28/32 этаж",Москва,СЗАО,3,29,20,6.7,56.0,31511199
"Продажа 1-комнатной квартиры 38,2 м², 16/17 этаж",Москва,Новая Москва,3,29,25,23.5,38.2,9679667
"Продажа 2-комнатной квартиры 75,8 м², 3/22 этаж",Москва,СЗАО,3,27,9,10.5,75.8,34216120
"Продажа 1-комнатной квартиры 42,2 м², 8/15 этаж",Москва,САО,3,47,39,24.9,42.2,10739900
"Продажа 1-комнатной квартиры 47,4 м², 18/33 этаж",Москва,ЦАО,3,25,16,4.0,47.4,32680373
"Продажа 2-комнатной квартиры 46,3 м², 25/33 этаж",Москва,САО,3,26,12,12.5,46.3,15585969
"Продажа 1-комнатной квартиры 34,2 м², 7/19 этаж",Москва,СЗАО,3,36,22,19.8,34.2,7346844
"Продажа 2-комнатной квартиры 51 м², 20/33 этаж",Москва,ЗАО,3,29,9,14.8,51.0,15400000
"Продажа 1-комнатной квартиры 30,8 м², 8/8 этаж",Москва,ВАО,3,18,13,8.1,30.8,5978000
"Продажа 2-комнатной квартиры 64 м², 9/54 этаж",Москва,САО,3,21,10,6.7,64.0,23957464
"Продажа 3-комнатной квартиры 86 м², 20/22 этаж",Москва,САО,3,16,3,11.9,86.0,24490000
"Продажа 2-комнатной квартиры 70,6 м², 45/52 этаж",Москва,СЗАО,3,28,12,16.2,70.6,27865986
"Продажа 1-комнатной квартиры 35,6 м², 17/23 этаж",Москва,ЮВАО,3,30,20,7.1,35.6,9704560
"Продажа 2-комнатной квартиры 50,4 м², 6/30 этаж",Москва,ЮВАО,3,26,16,10.0,50.4,17000000
"Продажа 3-комнатной квартиры 80 м², 6/14 этаж",Москва,САО,3,22,9,13.5,80.0,17450000
"Продажа 3-комнатной квартиры 110 м², 3/17 этаж",Москва,ЗАО,3,28,13,12.8,110.0,29000000
"Продажа 4-комнатной квартиры 97 м², 4/5 этаж",Москва,ЦАО,3,8,5,0.0,97.0,90500000
"Продажа 1-комнатной квартиры 26 м², 2/9 этаж",Москва,ЮВАО,3,28,14,12.6,26.0,6127500
"Продажа 1-комнатной квартиры 38,7 м², 10/23 этаж",Москва,САО,3,22,13,12.7,38.7,13968933
"Продажа 1-комнатной квартиры 38,6 м², 10/24 этаж",Москва,САО,3,27,9,14.9,38.6,15990000
"Продажа 4-комнатной квартиры 79,3 м², 13/21 этаж",Москва,ЗАО,3,28,9,12.2,79.3,23245372
"Продажа 1-комнатной квартиры 45,2 м², 12/29 этаж",Москва,ЮЗАО,3,17,14,11.2,45.2,15345400
"Продажа 2-комнатной квартиры 68 м², 14/14 этаж",Москва,ЮАО,3,23,15,6.0,68.0,27500000
"Продажа 1-комнатной квартиры 36,2 м², 3/31 этаж",Москва,САО,3,25,10,12.4,36.2,14455543
"Продажа 2-комнатной квартиры 58,9 м², 28/30 этаж",Москва,ЮВАО,3,25,9,5.8,58.9,23500000
"Продажа 4-комнатной квартиры 145 м², 24/25 этаж",Москва,СЗАО,3,16,10,8.9,145.0,48000000
"Продажа 2-комнатной квартиры 66,2 м², 13/32 этаж",Москва,СЗАО,3,28,12,6.7,66.2,51751930
"Продажа 3-комнатной квартиры 68 м², 12/27 этаж",Москва,СЗАО,3,33,22,7.8,68.0,29000000
"Продажа 2-комнатной квартиры 98 м², 22/32 этаж",Москва,ЮАО,3,24,10,0.0,98.0,63553196
"Продажа 1-комнатной квартиры 44,8 м², 9/14 этаж",Москва,ЮАО,3,28,13,7.6,44.8,18900000
"Продажа 2-комнатной квартиры 76,1 м², 7/17 этаж",Москва,ЮАО,3,37,29,7.1,76.1,27484295
"Продажа 2-комнатной квартиры 67,9 м², 8/15 этаж",Москва,ЮАО,3,30,20,8.0,67.9,16490000
"Продажа 4-комнатной квартиры 91,2 м², 1/14 этаж",Москва,ЮАО,3,28,24,8.3,91.2,22200000
"Продажа 2-комнатной квартиры 67,5 м², 9/12 этаж",Москва,Новая Москва,3,30,23,22.8,67.5,16127471
"Продажа многокомнатной квартиры 156,1 м², 18/24 этаж",Москва,ЮАО,3,27,10,7.5,156.1,85008233
"Продажа 2-комнатной квартиры 40,7 м², 24/33 этаж",Москва,СВАО,3,28,19,10.9,40.7,10752614
"Продажа 2-комнатной квартиры 42,1 м², 2/5 этаж",Москва,САО,3,30,27,14.0,42.1,11400000
"Продажа 3-комнатной квартиры 86 м², 11/20 этаж",Москва,СВАО,3,25,24,10.9,86.0,38000000
"Продажа 3-комнатной квартиры 97,7 м², 33/33 этаж",Москва,СВАО,3,25,19,14.2,97.7,25656020
"Продажа многокомнатной квартиры 144 м², 5/18 этаж",Москва,ЗАО,3,33,25,10.2,144.0,80000000
"Продажа 1-комнатной квартиры 32 м², 1/5 этаж",Москва,САО,3,18,15,5.0,32.0,10500000
"Продажа 2-комнатной квартиры 65 м², 19/25 этаж",Москва,ЮВАО,3,20,8,20.5,65.0,15000000
"Продажа квартиры-студии 22,1 м², 7/9 этаж",Москва,САО,3,28,21,14.2,22.1,8500000
"Продажа 1-комнатной квартиры 41,8 м², 4/19 этаж",Москва,Новая Москва,3,30,12,24.3,41.8,9700000
"Продажа 1-комнатной квартиры 33,5 м², 21/23 этаж",Москва,ЮВАО,3,29,18,20.1,33.5,11709353
"Продажа 1-комнатной квартиры 37,9 м², 13/21 этаж",Москва,ВАО,3,24,19,4.9,37.9,9520101
"Продажа 3-комнатной квартиры 90 м², 2/32 этаж",Москва,ЗАО,3,24,15,11.2,90.0,43713000
"Продажа квартиры-студии 17,3 м², 8/9 этаж",Москва,Зеленоград,3,64,53,814.0,17.3,5273000
"Продажа квартиры-студии 20 м², 4/9 этаж",Москва,Новая Москва,3,62,52,29.6,20.0,4481111
"Продажа квартиры-студии 24 м², 25/33 этаж",Москва,ЮВАО,3,25,15,9.9,24.0,6657156
"Продажа 3-комнатной квартиры 80,4 м², 3/33 этаж",Москва,СВАО,3,28,19,10.8,80.4,16872422
"Продажа 3-комнатной квартиры 59 м², 1/9 этаж",Москва,ЗАО,3,25,12,17.1,59.0,14900000
"Продажа 4-комнатной квартиры 127 м², 22/34 этаж",Москва,САО,3,23,11,7.8,127.0,44900000
"Продажа 1-комнатной квартиры 34,4 м², 4/38 этаж",Москва,ЮВАО,3,26,9,5.0,34.4,11185228
"Продажа 2-комнатной квартиры 45,5 м², 5/9 этаж",Москва,ЮАО,3,31,27,19.0,45.5,9890000
"Продажа 2-комнатной квартиры 62,4 м², 6/25 этаж",Москва,ЮЗАО,3,21,15,11.3,62.4,25835997
"Продажа 1-комнатной квартиры 37,6 м², 9/17 этаж",Москва,ЮВАО,3,26,15,7.9,37.6,10300000
"Продажа 2-комнатной квартиры 48,7 м², 6/24 этаж",Москва,СЗАО,3,30,13,13.9,48.7,15782988
"Продажа 2-комнатной квартиры 48,1 м², 19/33 этаж",Москва,СВАО,3,25,22,13.6,48.1,10505424
"Продажа 2-комнатной квартиры 63,4 м², 25/32 этаж",Москва,СЗАО,3,36,22,19.9,63.4,11117316
"Продажа 2-комнатной квартиры 37,8 м², 5/24 этаж",Москва,СВАО,3,30,21,13.7,37.8,8909838
"Продажа 3-комнатной квартиры 82,9 м², 7/16 этаж",Москва,ЮАО,3,26,17,6.2,82.9,37386242
"Продажа 3-комнатной квартиры 105 м², 6/8 этаж",Москва,ЦАО,3,17,7,3.8,105.0,55000000
"Продажа 1-комнатной квартиры 37 м², 7/16 этаж",Москва,СВАО,3,30,27,14.6,37.0,8500000
"Продажа 2-комнатной квартиры 78,1 м², 8/18 этаж",Москва,ЮЗАО,3,18,10,10.8,78.1,27990000
"Продажа 1-комнатной квартиры 30,8 м², 8/8 этаж",Москва,ВАО,3,18,13,8.1,30.8,7000000
"Продажа 2-комнатной квартиры 60 м², 3/9 этаж",Москва,СВАО,3,27,23,11.0,60.0,18900000
"Продажа 2-комнатной квартиры 55,8 м², 9/14 этаж",Москва,Новая Москва,3,62,52,29.4,55.8,9142383
"Продажа квартиры со свободной планировкой 37,5 м², 10/12 этаж",Москва,ЦАО,3,13,6,0.0,37.5,15500000
"Продажа 3-комнатной квартиры 70 м², 7/16 этаж",Москва,ЗАО,3,30,12,12.0,70.0,17990000
"Продажа квартиры-студии 20 м², 2/10 этаж",Москва,ЮВАО,3,23,16,5.5,20.0,6100000
"Продажа 1-комнатной квартиры 37,6 м², 7/17 этаж",Москва,Новая Москва,3,28,8,24.8,37.6,10700000
"Продажа 3-комнатной квартиры 121,8 м², 14/17 этаж",Москва,СЗАО,3,29,23,10.8,121.8,35600000
"Продажа 3-комнатной квартиры 80,4 м², 4/9 этаж",Москва,Новая Москва,3,75,64,,80.4,18018926
"Продажа 2-комнатной квартиры 47,1 м², 12/29 этаж",Москва,ЮЗАО,3,17,14,11.2,47.1,17647757
"Продажа 1-комнатной квартиры 39,7 м², 30/33 этаж",Москва,СВАО,3,28,19,10.9,39.7,10438876
"Продажа 1-комнатной квартиры 40,2 м², 12/20 этаж",Москва,Новая Москва,3,37,31,23.6,40.2,8614623
"Продажа 1-комнатной квартиры 34,9 м², 13/13 этаж",Москва,СЗАО,3,30,13,13.9,34.9,11741546
"Продажа 1-комнатной квартиры 32,5 м², 21/33 этаж",Москва,СВАО,3,25,22,13.6,32.5,7965360
"Продажа квартиры-студии 23,8 м², 30/33 этаж",Москва,ЮАО,3,25,7,18.5,23.8,6321294
"Продажа 1-комнатной квартиры 40 м², 2/12 этаж",Москва,СВАО,3,28,10,11.7,40.0,9150000
"Продажа 3-комнатной квартиры 62,4 м², 8/9 этаж",Москва,Новая Москва,3,44,30,29.5,62.4,9600000
"Продажа 1-комнатной квартиры 32,2 м², 27/33 этаж",Москва,ВАО,3,41,38,11.0,32.2,8529780
"Продажа 3-комнатной квартиры 83,8 м², 11/24 этаж",Москва,ЮВАО,3,29,22,7.4,83.8,16725291
"Продажа 2-комнатной квартиры 44,2 м², 1/9 этаж",Москва,ЮАО,3,27,25,16.6,44.2,10650000
"Продажа 3-комнатной квартиры 79,5 м², 22/27 этаж",Москва,ЮАО,3,21,16,4.0,79.5,38123162
"Продажа 1-комнатной квартиры 32,1 м², 9/33 этаж",Москва,СВАО,3,28,19,10.8,32.1,9272534
"Продажа квартиры-студии 23,8 м², 24/24 этаж",Москва,ЮВАО,3,29,22,7.4,23.8,6472219
"Продажа 3-комнатной квартиры 78 м², 3/8 этаж",Москва,ЮЗАО,3,17,5,8.8,78.0,23800000
"Продажа 1-комнатной квартиры 52,6 м², 2/23 этаж",Москва,ЗАО,3,28,15,17.4,52.6,13500000
"Продажа 1-комнатной квартиры 41,4 м², 20/25 этаж",Москва,ВАО,3,34,25,10.7,41.4,13591620
"Продажа 1-комнатной квартиры 44,9 м², 2/29 этаж",Москва,ЮЗАО,3,17,14,11.2,44.9,14799040
"Продажа 1-комнатной квартиры 39,3 м², 37/52 этаж",Москва,СЗАО,3,28,12,16.3,39.3,16682608
"Продажа 1-комнатной квартиры 34 м², 21/25 этаж",Москва,Новая Москва,3,30,14,22.7,34.0,10200000
"Продажа 3-комнатной квартиры 65,2 м², 5/16 этаж",Москва,ВАО,3,21,4,7.8,65.2,13600000
"Продажа 1-комнатной квартиры 39,7 м², 19/19 этаж",Москва,СЗАО,3,36,22,19.8,39.7,8287295
"Продажа 2-комнатной квартиры 57,3 м², 4/22 этаж",Москва,СЗАО,3,27,9,10.5,57.3,29755890
"Продажа 1-комнатной квартиры 38,9 м², 5/10 этаж",Москва,ЮВАО,3,31,28,14.0,38.9,9200000
"Продажа квартиры-студии 25,4 м², 2/28 этаж",Москва,ВАО,3,19,11,9.8,25.4,7078167
"Продажа 3-комнатной квартиры 78 м², 5/8 этаж",Москва,Новая Москва,3,75,64,,78.0,17435808
"Продажа 2-комнатной квартиры 65 м², 7/17 этаж",Москва,Новая Москва,3,26,20,22.4,65.0,13000000
"Продажа квартиры-студии 23,5 м², 24/33 этаж",Москва,ЗАО,3,20,13,13.4,23.5,9714054
"Продажа многокомнатной квартиры 421 м², 7/7 этаж",Москва,ЦАО,3,15,8,0.0,421.0,116000000
"Продажа 1-комнатной квартиры 44,8 м², 12/16 этаж",Москва,ЮВАО,3,24,14,9.4,44.8,11100000
"Продажа 2-комнатной квартиры 60,2 м², 6/8 этаж",Москва,САО,3,14,9,9.1,60.2,20900000
"Продажа 1-комнатной квартиры 35,7 м², 2/33 этаж",Москва,СЗАО,3,28,12,6.7,35.7,16037690
"Продажа 1-комнатной квартиры 14,1 м², 6/6 этаж",Москва,ВАО,3,26,15,6.7,14.1,4700000
"Продажа квартиры-студии 23,8 м², 14/14 этаж",Москва,Новая Москва,3,62,52,29.4,23.8,4881570
"Продажа 1-комнатной квартиры 57 м², 11/24 этаж",Москва,ЮАО,3,28,11,7.5,57.0,27246626
"Продажа 2-комнатной квартиры 56 м², 2/17 этаж",Москва,ЮЗАО,3,35,29,27.9,56.0,11000000
"Продажа 3-комнатной квартиры 87,7 м², 6/32 этаж",Москва,СЗАО,3,28,12,6.6,87.7,30195491
"Продажа 1-комнатной квартиры 34,3 м², 11/16 этаж",Москва,ЮАО,3,23,19,14.5,34.3,9999000
"Продажа 3-комнатной квартиры 81,4 м², 10/17 этаж",Москва,СЗАО,3,20,10,12.5,81.4,25000000
"Продажа 1-комнатной квартиры 40,8 м², 27/32 этаж",Москва,СВАО,3,28,20,15.6,40.8,9128755
"Продажа многокомнатной квартиры 115 м², 15/35 этаж",Москва,ЦАО,3,25,9,6.0,115.0,77000000
"Продажа 2-комнатной квартиры 70 м², 5/62 этаж",Москва,СЗАО,3,21,11,9.5,70.0,33000000
"Продажа квартиры-студии 27,3 м², 3/33 этаж",Москва,СВАО,3,28,19,10.9,27.3,7170508
