Наименование объявления,Город,Район,Количество станций метро рядом,Самый длогий путь до метро,Самый короткий путь до метро,Расттояние до центра,Площадь квартиры,Цена квартиры
"Продажа 2-комнатной квартиры 56,5 м², 4/9 этаж",Москва,Новая Москва,3,62,52,29.6,56.5,8948472
"Продажа квартиры-студии 21,5 м², 3/8 этаж",Москва,ЦАО,3,19,8,4.9,21.5,7600000
"Продажа 2-комнатной квартиры 52,7 м², 5/5 этаж",Москва,Новая Москва,0,,,15.0,52.7,5500000
"Продажа 2-комнатной квартиры 57,4 м², 2/17 этаж",Москва,СВАО,3,28,19,10.9,57.4,13412313
"Продажа квартиры-студии 32,5 м², 6/13 этаж",Москва,САО,3,22,6,6.7,32.5,13500000
"Продажа 1-комнатной квартиры 38 м², 17/17 этаж",Москва,СЗАО,3,26,8,19.4,38.0,11300000
"Продажа 2-комнатной квартиры 61,8 м², 13/14 этаж",Москва,Новая Москва,3,62,52,29.4,61.8,10189336
"Продажа 2-комнатной квартиры 58,5 м², 16/16 этаж",Москва,СВАО,3,23,7,14.7,58.5,15800000
"Продажа 4-комнатной квартиры 99,9 м², 6/36 этаж",Москва,СЗАО,3,31,21,7.9,99.9,32000000
"Продажа 1-комнатной квартиры 40,6 м², 40/54 этаж",Москва,САО,3,21,10,6.7,40.6,18504905
"Продажа 2-комнатной квартиры 47,4 м², 6/12 этаж",Москва,ЮАО,3,21,10,16.1,47.4,11000000
"Продажа 1-комнатной квартиры 31,5 м², 5/9 этаж",Москва,ЮВАО,3,24,2,5.5,31.5,9500000
"Продажа квартиры-студии 20 м², 6/15 этаж",Москва,ЮАО,3,21,9,5.9,20.0,8490000
"Продажа 1-комнатной квартиры 44,7 м², 3/24 этаж",Москва,ЗАО,3,26,20,13.5,44.7,16500000
"Продажа квартиры-студии 20,1 м², 10/24 этаж",Москва,ЮВАО,3,29,22,7.4,20.1,6106540
"Продажа 3-комнатной квартиры 71 м², 10/16 этаж",Москва,Новая Москва,3,32,26,18.6,71.0,14000000
"Продажа 1-комнатной квартиры 47,8 м², 13/23 этаж",Москва,ЮЗАО,3,29,21,9.6,47.8,12900000
"Продажа 1-комнатной квартиры 42,1 м², 9/14 этаж",Москва,Новая Москва,3,34,26,22.0,42.1,9500000
"Продажа 1-комнатной квартиры 41 м², 12/14 этаж",Москва,ЮАО,3,23,11,6.4,41.0,10500000
"Продажа 4-комнатной квартиры 95 м², 3/16 этаж",Москва,СВАО,3,30,25,12.9,95.0,28700000
"Продажа 3-комнатной квартиры 80,4 м², 23/33 этаж",Москва,СВАО,3,28,19,10.8,80.4,17266060
"Продажа квартиры-студии 23,7 м², 25/33 этаж",Москва,ЮАО,3,26,20,8.7,23.7,7066676
"Продажа 3-комнатной квартиры 78,4 м², 7/22 этаж",Москва,СВАО,3,18,16,5.2,78.4,31829224
"Продажа 2-комнатной квартиры 42 м², 4/5 этаж",Москва,ЮВАО,3,27,12,10.4,42.0,10500000
"Продажа 4-комнатной квартиры 130 м², 5/16 этаж",Москва,СЗАО,3,23,13,8.8,130.0,41800000
"Продажа 1-комнатной квартиры 47,3 м², 32/50 этаж",Москва,ЗАО,3,27,10,10.5,47.3,24990000
"Продажа 2-комнатной квартиры 55,2 м², 4/14 этаж",Москва,ЦАО,3,24,9,4.1,55.2,18990000
"Продажа 1-комнатной квартиры 36,3 м², 9/16 этаж",Москва,ЮАО,3,16,11,5.2,36.3,16421250
"Продажа квартиры-студии 22,8 м², 16/32 этаж",Москва,САО,3,22,13,12.6,22.8,8986346
"Продажа квартиры-студии 30,5 м², 19/21 этаж",Москва,СВАО,3,34,25,14.8,30.5,8900000
"Продажа 2-комнатной квартиры 37,8 м², 5/24 этаж",Москва,СВАО,3,30,21,13.7,37.8,8729532
"Продажа квартиры-студии 20,1 м², 25/28 этаж",Москва,ЗАО,3,32,15,13.5,20.1,11950000
"Продажа 2-комнатной квартиры 39,8 м², 3/6 этаж",Москва,Новая Москва,3,24,16,17.6,39.8,11500000
"Продажа квартиры-студии 17,5 м², 6/10 этаж",Москва,ЗАО,3,23,7,11.6,17.5,7200000
"Продажа 2-комнатной квартиры 59,6 м², 22/23 этаж",Москва,ЗАО,3,29,15,12.9,59.6,27000000
"Продажа 1-комнатной квартиры 38,9 м², 24/33 этаж",Москва,ЮВАО,3,25,15,9.9,38.9,9941906
"Продажа 2-комнатной квартиры 50,4 м², 17/36 этаж",Москва,СВАО,3,24,15,10.3,50.4,13230000
"Продажа квартиры-студии 28,4 м², 14/17 этаж",Москва,Новая Москва,3,29,25,23.5,28.4,7884447
"Продажа квартиры-студии 13,5 м², 1/9 этаж",Москва,ЮАО,3,23,13,4.9,13.5,4759031
"Продажа 1-комнатной квартиры 36 м², 28/28 этаж",Москва,ВАО,3,19,11,9.8,36.0,9031824
"Продажа 1-комнатной квартиры 34,8 м², 13/14 этаж",Москва,ЮАО,3,30,8,15.7,34.8,9500000
"Продажа 1-комнатной квартиры 42,3 м², 16/28 этаж",Москва,ВАО,3,19,11,9.8,42.3,10266040
"Продажа 1-комнатной квартиры 30,6 м², 4/5 этаж",Москва,ЗАО,3,27,10,12.9,30.6,8600000
"Продажа 1-комнатной квартиры 37,9 м², 37/43 этаж",Москва,СЗАО,3,27,25,15.5,37.9,16200355
"Продажа 2-комнатной квартиры 46,2 м², 27/33 этаж",Москва,ВАО,3,19,11,9.8,46.2,11731104
"Продажа 3-комнатной квартиры 76,8 м², 20/22 этаж",Москва,ЮВАО,3,20,12,9.7,76.8,19262450
"Продажа 2-комнатной квартиры 63,5 м², 18/19 этаж",Москва,СЗАО,3,27,13,14.1,63.5,33667700
"Продажа квартиры-студии 17 м², 1/5 этаж",Москва,ЦАО,3,16,10,4.6,17.0,4510000
"Продажа многокомнатной квартиры 147 м², 12/22 этаж",Москва,СЗАО,3,21,6,13.9,147.0,40999999
"Продажа 2-комнатной квартиры 50,9 м², 12/12 этаж",Москва,ЗАО,3,30,14,14.0,50.9,12990000
"Продажа 2-комнатной квартиры 59,7 м², 4/15 этаж",Москва,САО,3,47,39,24.9,59.7,13832490
"Продажа 1-комнатной квартиры 43,4 м², 9/10 этаж",Москва,ЮЗАО,3,27,3,5.7,43.4,17400000
"Продажа 3-комнатной квартиры 80 м², 13/20 этаж",Москва,ЗАО,3,20,6,6.6,80.0,39000000
"Продажа 1-комнатной квартиры 41,7 м², 33/33 этаж",Москва,СВАО,3,25,19,14.2,41.7,11709360
"Продажа 2-комнатной квартиры 68,8 м², 4/33 этаж",Москва,ВАО,3,19,11,10.0,68.8,15602464
"Продажа 4-комнатной квартиры 140,7 м², 2/21 этаж",Москва,СЗАО,3,27,9,10.8,140.7,79959810
"Продажа 4-комнатной квартиры 109,6 м², 2/14 этаж",Москва,САО,3,47,39,24.8,109.6,18988200
"Продажа 2-комнатной квартиры 53 м², 4/15 этаж",Москва,САО,3,47,39,24.9,53.0,13128100
"Продажа квартиры-студии 10,9 м², 1/5 этаж",Москва,САО,3,15,9,5.9,10.9,4796000
"Продажа 1-комнатной квартиры 38,9 м², 24/28 этаж",Москва,СВАО,3,18,14,7.5,38.9,17210000
"Продажа 2-комнатной квартиры 79,2 м², 26/32 этаж",Москва,ЮАО,3,24,10,0.0,79.2,83920320
"Продажа квартиры-студии 25,3 м², 3/22 этаж",Москва,САО,3,25,7,14.8,25.3,7700000
"Продажа 1-комнатной квартиры 41,2 м², 8/12 этаж",Москва,Новая Москва,3,79,68,29.8,41.2,8553120
"Продажа 1-комнатной квартиры 32,4 м², 33/33 этаж",Москва,ЮАО,3,26,20,8.7,32.4,9446155
